20 20
999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
999	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	999
999	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	999
999	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	999
999	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	999
999	10	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	10	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	10	1	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	10	10	10	1	1	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	1	1	1	1	1	1	10	10	10	10	10	10	10	10	10	10	10	10	999
999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
1 18
18 1
